idEmploye,nom,prenom,telephone,adresse,dateDeNaissance,diplome,idDepartement,idPoste,nomDepartement,pays,libelle,nombreHeuresParSemaine,occupation,salaireBase,idContrat,dateDebutContrat,numeroContrat,salaire,idAbsence,motifAbsence,nombreDeJours,dateAbsence,idPerformance,notePerformance,datePerformance,idFormation,typeFormation,coutFormation,idSeForme,DateDebutFormation
8.0,Neumann,Karin,+49 890 123456,Musterland 8,1975-07-24,bts,2,6,Ressources humaines,Allemagne,Responsable relations sociales,35,1,2200,8,2021-01-12,14008,3400,4.0,Formation,15.0,2022-01-01,8,12,2021-12-08,5.0,Formation en gestion des ressources humaines,1300.0,1.0,2022-01-01
8.0,Neumann,Karin,+49 890 123456,Musterland 8,1975-07-24,bts,2,6,Ressources humaines,Allemagne,Responsable relations sociales,35,1,2200,8,2021-01-12,14008,3400,8.0,Congé,90.0,2022-09-05,28,14,2022-12-08,5.0,Formation en gestion des ressources humaines,1300.0,1.0,2022-01-01
9.0,Schulz,Stefan,+49 901 234567,Musterweg 9,1989-10-05,licence,4,2,Finance,Allemagne,Directeur des ressources humaines,40,1,3050,9,2021-01-02,14009,4450,5.0,Formation,10.0,2022-03-11,9,13,2021-12-09,6.0,Formation en comptabilité,1450.0,2.0,2022-03-11
9.0,Schulz,Stefan,+49 901 234567,Musterweg 9,1989-10-05,licence,4,2,Finance,Allemagne,Directeur des ressources humaines,40,1,3050,9,2021-01-02,14009,4450,5.0,Formation,10.0,2022-03-11,29,16,2022-12-09,6.0,Formation en comptabilité,1450.0,2.0,2022-03-11
1.0,Müller,Hans,+49 123 456789,Musterstr. 1,1980-03-15,master,3,12,IT,Allemagne,Contrôleur de gestion,35,1,2800,1,2021-01-02,14001,3530,1.0,Congé annuel,5.0,2022-01-10,1,12,2021-12-01,9.0,Formation en CISCO CCNA,900.0,3.0,2022-04-10
1.0,Müller,Hans,+49 123 456789,Musterstr. 1,1980-03-15,master,3,12,IT,Allemagne,Contrôleur de gestion,35,1,2800,1,2021-01-02,14001,3530,9.0,Formation,7.0,2022-04-10,21,15,2022-12-01,9.0,Formation en CISCO CCNA,900.0,3.0,2022-04-10
2.0,Schmidt,Anna,+49 234 567890,Musterweg 2,1985-06-22,bts,4,11,Finance,Allemagne,Chef de projet informatique,35,1,3000,2,2021-01-12,14002,3230,2.0,Maladie,2.0,2022-02-15,2,10,2021-12-02,,,,,
2.0,Schmidt,Anna,+49 234 567890,Musterweg 2,1985-06-22,bts,4,11,Finance,Allemagne,Chef de projet informatique,35,1,3000,2,2021-01-12,14002,3230,2.0,Maladie,2.0,2022-02-15,22,13,2022-12-02,,,,,
3.0,Weber,Thomas,+49 345 678901,Musterplatz 3,1990-11-03,licence,2,8,Ressources humaines,Allemagne,Directeur financier,40,1,2600,3,2021-01-22,14003,4135,3.0,Congé,60.0,2022-03-20,3,11,2021-12-03,,,,,
3.0,Weber,Thomas,+49 345 678901,Musterplatz 3,1990-11-03,licence,2,8,Ressources humaines,Allemagne,Directeur financier,40,1,2600,3,2021-01-22,14003,4135,3.0,Congé,60.0,2022-03-20,23,13,2022-12-03,,,,,
4.0,Wagner,Julia,+49 456 789012,Musterallee 4,1982-09-18,master,1,7,Ventes et marketing,Allemagne,Développeur web,35,1,2500,4,2021-01-02,14004,3455,,,,,4,14,2021-12-04,,,,,
4.0,Wagner,Julia,+49 456 789012,Musterallee 4,1982-09-18,master,1,7,Ventes et marketing,Allemagne,Développeur web,35,1,2500,4,2021-01-02,14004,3455,,,,,24,17,2022-12-04,,,,,
5.0,Fischer,Michael,+49 567 890123,Musterberg 5,1978-02-09,bts,1,5,Ventes et marketing,Allemagne,Directeur des opérations,40,1,2100,5,2021-01-12,14005,2450,,,,,5,9,2021-12-05,,,,,
5.0,Fischer,Michael,+49 567 890123,Musterberg 5,1978-02-09,bts,1,5,Ventes et marketing,Allemagne,Directeur des opérations,40,1,2100,5,2021-01-12,14005,2450,,,,,25,16,2022-12-05,,,,,
6.0,Meyer,Lisa,+49 678 901234,Musterdorf 6,1987-05-26,licence,3,14,IT,Allemagne,Chargé de recrutement,35,1,2600,6,2021-01-02,14006,2400,6.0,Congé sans solde,15.0,2022-07-10,6,14,2021-12-06,,,,,
6.0,Meyer,Lisa,+49 678 901234,Musterdorf 6,1987-05-26,licence,3,14,IT,Allemagne,Chargé de recrutement,35,1,2600,6,2021-01-02,14006,2400,6.0,Congé sans solde,15.0,2022-07-10,26,14,2022-12-06,,,,,
7.0,Schneider,Andreas,+49 789 012345,Musterstadt 7,1984-12-11,master,1,17,Ventes et marketing,Allemagne,Chargé de la planification,35,1,2850,7,2021-01-02,14007,2600,7.0,Congé maladie enfant,3.0,2022-08-12,7,13,2021-12-07,,,,,
7.0,Schneider,Andreas,+49 789 012345,Musterstadt 7,1984-12-11,master,1,17,Ventes et marketing,Allemagne,Chargé de la planification,35,1,2850,7,2021-01-02,14007,2600,7.0,Congé maladie enfant,3.0,2022-08-12,27,15,2022-12-07,,,,,
,,,,,,,,1,Promoteur de vente,Allemagne,,35,0,2700,,,,,,,,,,,,,,,,
,,,,,,,,9,Responsable de la chaîne logistique,Allemagne,,35,0,3200,,,,,,,,,,,,,,,,
